Artist;Scrobblings;Origen
Mortal Sin;17;Australia
Parabellum;17;Colombia
Poppy;17;Estados Unidos
Pyotr Ilyich Tchaikovsky;17;Rusia
The Haunting Presence;17;Estados Unidos
Vèrmyapre Kommando;17;Francia
Vulturine;17;Brasil
Witch Tomb;17;
Wolf's Moon;17;
6ix9ine;16;Estados Unidos
Angry Luna;16;
Blood Libel;16;Canadá
Bloodbath;16;Suecia
Ethereal Tomb;16;Canadá
Fugitive Wizard;16;Estados Unidos
Gottlos;16;
Grollfried;16;
Johann Sebastian Bach;16;Alemania
Lenny Kravitz;16;Estados Unidos
Miserycore;16;Chile
Nagelfar;16;Alemania
Nefandus;16;Suecia
Roki Vulovic;16;Serbia
Strandhogg;16;Polonia
Surrender Of Divinity;16;Tailandia
Taylor Swift;16;Estados Unidos
The Serfs;16;
Vatican Shadow;16;Estados Unidos
Virophage;16;Reino Unido
Vitas;16;Rusia
Yellow Claw;16;
Верка Сердючка;16;Ucrania
прыгай киска;16;
Сёстры;16;
Abdulla Rashim;15;Suecia
Akhlys;15;
Aosoth;15;
Baal Zebuth;15;Rusia
Blood Chalice;15;Finlandia
Caustic Wound;15;
Disgorge;15;México
Fire In The Head;15;
Fulanito;15;
Gehenna;15;
Grafvitnir;15;
Hhahda;15;
Lamp Of Murmuur;15;Estados Unidos
Lord Foul;15;
Los Tucanes De Tijuana;15;México
Magrudergrind;15;
Mörk Gryning;15;
Ormgård;15;
Paralocks;15;
Perc;15;
Pissgrave;15;
Psicovomitosis Sadinecrootitis;15;
Setherial;15;
Tokyo Blade;15;
Uso Carruso;15;
Wikileadz;15;
Мононоке;15;
Ритуальные Услуги;15;
Cephalotripsy;14;
Chaos UK;14;
Crucifix;14;
Death in June;14;
Dr. Dre;14;
Endstille;14;
Hats Barn;14;
Horn;14;
Intestinal Disgorge;14;
Juanes;14;Colombia
Luciferian;14;Colombia
Mare Cognitum;14;
melej;14;Colombia
Mutantex;14;Colombia
Mutilator;14;
Tormentador;14;
Village Gang;14;
Witchtrap;14;Colombia
Хадн дадн;14;
Alice Deejay;13;
Azaghal;13;
Bi-2;13;
Celestial Bloodshed;13;
Csejthe;13;
Drakonhail;13;
El Charrito Negro;13;
Ereshkigal;13;
Extreme Noise Terror;13;
Folkvang;13;
Forgotten Tomb;13;
Goatblood;13;
Greg Notill;13;
Imago Mortis;13;
Impaler of Pest;13;Colombia
Kap Bambino;13;
King Diamond;13;
La Bouche;13;
Lock Up;13;
Los Rayos;13;
Megadeth;13;
Old Man's Child;13;
Orgiastic Pleasures;13;
Plan B;13;
Power From Hell;13;
Rage Against the Machine;13;
Reconquista;13;
Six Feet Under;13;
Solar Cross;13;
АИГЕЛ;13;
Космос на потолке;13;
Angerfist;12;
Aries Vigoth;12;
Ash Pool;12;
Basshunter feat. DJ Mental Theos Bazzheadz;12;
Billie Eilish;12;
Brutal Truth;12;
Carl Orff;12;
Compatriot;12;
Deep Gnome;12;
DISomnia;12;
Evol;12;
Grendel;12;
Guru Josh Project;12;
James Blunt;12;
Jazmin Bean;12;
Kampfar;12;
Lack of Interest;12;
LENTO VIOLENTO;12;Italia
Lifelover;12;
Mastiphal;12;
Mellow Grave;12;
Nikolay Kostylev;12;
Nocturnal Hell;12;
Noisekick;12;
Obsidian Gate;12;
Pentacrostic;12;
Rhapsody;12;
Spasm;12;
Tego Calderon;12;
The Ruins of Beverast;12;
Браво;12;
Acid Mammoth;11;
Canserbero;11;
Caroline Polachek;11;
Cream Soda;11;
Daron Malakian;11;
Dislepsia;11;
Don Omar;11;
Drekavac;11;
dungeontroll;11;
El Caballero Gaucho;11;
Escroto de Rata;11;
Groteskh;11;
Immortal Technique;11;
Imprecation;11;
Iron Maiden;11;
Joe Arroyo;11;
Julia Jacklin;11;
Kommandant;11;
Kylie Minogue;11;
Monarch!;11;
Necrophagist;11;
Nyogthaeblisz;11;
polnalyubvi;11;
Poshlaya Molly;11;
Rodolfo Aicardi;11;
Sadus;11;
Sapthuran;11;
Sea of Shit;11;
Syphilectomy;11;
Thornium;11;
Tzusing;11;
Ulvdalir;11;
Ulver;11;
Vermeth;11;
Vomit Church;11;
Wederganger;11;
Wisin & Yandel;11;
△Sco△;10;Rusia
A Touch of Class;10;Alemania
Armnatt;10;
Balrog;10;
Black Magick SS;10;
Blaze of Perdition;10;
Blvck Ceiling;10;
Boney M.;10;
Carpticon;10;
Chalice of Blood;10;
Chromatics;10;
Daft Punk;10;
Dan Terminus;10;
Electro Hippies;10;
Grazhdanskaya Oborona;10;
Hate;10;
Kanonenfieber;10;
Lucy Dacus;10;
Malevolent Creation;10;
Misþyrming;10;
